Центральный офис                   ;MOCO
"ОКВКУ ""СТК Ниссан""                 ";PTNI
"ДО ""Василеостровский ф-ла С-П""     ";PTVS
"ДО ""Октябрьский"" Ф-л ""Санкт-Петербу";PTOK
"ДО ""Приморский"" Ф-лa ""Санкт-Петербу";PTPR
"ДО ""Арсенальный"" Ф-ла ""Санкт-Петерб";PTSV
"ДО ""Фрунзенский"" Ф-л ""Санкт-Петербу";PTFR
ДО Центр ипотечного кредитования ф.;PTCI
"ОО ""Мурманский"" ф-ла ""Санкт-Петербу";PTMU
"ОО ""Калининградский"" филиала ""Санкт";PTKL
Технический Д/Р ф-л Калининградский;PT98
Технический Д/Р ф-л Мурманский     ;PT99
Филиал Самарский                   ;SMCO
"ДО ""Тольяттинский"" Ф-ла ""Самарский""";SMTO
"ОО ""Бузулукский""                   ";SMBU
"ОО ""Оренбургский""                  ";SMOR
"ОО ""Орский""                        ";SMOS
"ОО ""Пермский""                      ";SMPR
"ОО ""СЕЛЕНИТ""                       ";SMGL
Технический Д/Р ф-л Орский         ;SM98
Технический Д/Р ф-л Оренбургский   ;SM99
Филиал Екатеринбургский            ;EKCO
"ДО ""Каменск-Уральский""             ";EKKU
"ОО ""Курганский""                    ";EKKR
"ДО ""Исеть""                         ";EKSK
"ОО ""Аркаим""                        ";EKTM
"ДО ""Рубин""                         ";EKML
"ДО ""Жемчужный""                     ";EKMV
"ОО ""Магнитогорский""                ";EKMG
"ДО ""Мартеновский""                  ";EKMR
"ОО ""Челябинский""                   ";EKCH
"ОО ""Демидовский""                   ";EKDM
"ОКВКУ ""Кольцово""                   ";EKKL
"ДО ""КОСМОС"" Ф-ЛА ""ЕКАТЕРИНБУРГСКИЙ""";EKYA
Технический Д/Р ф-л Курганский     ;EK98
Технический Д/Р ф-л Челябинский    ;EK99
Филиал Казанский                   ;KZCO
Филиал Башкортостан                ;BSFI
Филиал Красноярский                ;CRCO
"ДО ""Железногорский""                ";CRZH
"ДО ""Зеленогорский"" ф               ";CRZL
"ОКВКУ №1  филиала ""К               ";CROK
Филиал Пермский                    ;PRCO
"ДО ""Прикамский""                    ";PRPK
Филиал Тюменский                   ;TUCO
"ДО ""Мегионский"" Филиала ""Тюменский""";TUMG
"ДО ""Нижневартовский"" Ф-ла ""Тюменски";TUNV
"ДО ""Радужный"" Филиал               ";TURA
"ДО ""Уватский"" Ф-ла ""Тюменский""     ";TUUV
"ДО ""Югорский"" Филиал               ";TUUG
"Обменный пункт филиала ""Тюменский"" ";TUOP
"ДО ""Серебряковский""                ";TUSR
Филиал Тульский                    ;TYCO
Технический Д/Р Ф-л Тульский       ;MOTL
"ДО ""Уватский"" Филиала ""Тюменский""  ";MOUV
"Блок ""Потребительское кредитование""";MOGI
"ОО ""Казанский""                     ";NZKZ
Технический Д/Р ф-л Казанский      ;NZ98
"ДО ""ВЕДИС.ЮРЛОВО""                  ";MOLD
"ДО ""ФАВОРИТ МОТОРС.СЕМЕНОВСКАЯ""    ";MOLA
"ККО ""АЛЬФА PRIVATE ТЮМЕНЬ""         ";MOGJ
"ДО ""КОРОЛЕВ""                       ";MOTE
"ККО ""ИРКУТСК-АНГАРА""               ";MORK
"ККО ""КЕМЕРОВО-НАБЕРЕЖНЫЙ""          ";MONB
"ККО ""САНКТ-ПЕТЕРБУРГ-МОСКОВСКИЙ ПРО";MOSE
"ДО ""ВЕДИС. МАРФИНО""                ";MORF
"ККО ""АЛЬФА PRIVATE ЧЕЛЯБИНСК""      ";MOLH
"ДО ""ВЕШКИ""                         ";MOMB
"ДО ""ОДИНЦОВО""                      ";MOOD
"ОО ""Чароит""                        ";NVCH
"ДО ""Пулковский меридиан""           ";PTPM
Технический ЦО зарплатный          ;MOZP
"ДО ""НЕЗАВИСИМОСТЬ. БЕЛАЯ ДАЧА""     ";MOND
"ДО ""ФАВОРИТ МОТОРС. РЕУТОВ""        ";MORV
"ДО ""1905 года""                     ";MOGK
"ККО ""САНКТ-ПЕТЕРБУРГ-ЕС-КОМЕНДАНТСК";MOGL
"ККО ""НОВОСИБИРСК-EC-ДВОРЕЦ СВЯЗИ""  ";MOZO
"ККО ""ЕКАТЕРИНБУРГ-EC-ДВОРЕЦ СВЯЗИ"" ";MOZI
Технический Д/Р ф-л                ;SM97
"ДО ""АЛЬФА PRIVATE ОРДЫНКА""         ";MOZU
"ККО ""ЛИПЕЦК-ПЕТРОВСКИЙ""            ";MOZM
"ОО ""Тойота - Центр  Кемеровский""   ";NVTC
"ДО ""Астория""                       ";ROAS
"ОО ""Кубанский""                     ";ROKU
"ДО ""Асмоловский""                   ";ROBS
"ДО ""Космонавтов""                   ";ROKS
"ДО ""Курай""                         ";BSKR
"ДО ""Салават""                       ";BSSA
"ДО ""Черниковский""                  ";BSCH
"ККО ""НОВОСИБИРСК-ЕС-               ";MORJ
"ККО ""НОВОСИБИРСК-EC-               ";MOSW
"ККО ""НОВОСИБИРСК-EC-НА ДОВАТОРА""   ";MOOV
"ККО ""КАЗАНЬ-ЕС-НА БАУМАНА""         ";MOTK
"ККО ""ЕКАТЕРИНБУРГ-EC               ";MORZ
"ОО ""Виктория""                      ";EKVK
"ОО ""Доватора""                      ";EKDV
"ОО ""Галактика"" Ф-ла ""Екатеринбургск";EKGL
"ОО ""Калининский""                   ";EKKN
"ОО ""Сталеваров""                    ";EKST
"ОО ""Авангард""                      ";EKAV
"ОО ""Архангельский""                 ";PTAR
"Блок ""Потреб. кредитование""        ";MOGM
"Блок ""Потребительск. кредитование"" ";MOGN
"ДО ""ПАНАВТО. ЗАРЕЧЬЕ""              ";MOLN
"ДО ""ВЕДИС. МИЧУРИНО""               ";MORN
"ДО ""АВТО АЛЕА. ВЛАДЫКИНО""          ";MOVQ
"ДО  ""НЕЗАВИСИМОСТЬ. ХИМКИ""         ";MOLR
"ДО  ""ФАВОРИТ МОТОРС. СЕМЕНОВСКАЯ 2""";MOOC
"ДО ""Белореченский""                 ";EKBR
"ДО ""Политехнический""               ";EKPL
"ДО ""Салют""                         ";EKSL
"ДО ""Ватутинский""                   ";EKVT
"ДО ""Агат""                          ";EKAG
"ККО ""ВЛАДИВОСТОК-ЦЕНТРАЛЬНЫЙ""      ";MOVV
"ДО ""Набережные Челны               ";KZNC
"ДО ""Индустриальный""                ";EKIN
"ДО ""Заводской""                     ";EKZV
"ДО ""Морозовский""                   ";EKMZ
"ДО ""Вагоностроительный""            ";EKVG
"ДО ""Набережный""                    ";EKNB
"ККО ""СТЕРЛИТАМАК-ЕС-ШИХАН""         ";MOSG
"ККО ""УФА-ЕС-НА УХТОМСКОГО""         ";MOUH
"ККО ""УФА-ЕС-БЕССОНОВА""             ";MOUB
"ККО ""САНКТ-ПЕТЕРБУРГ-ЕС- НЕВСКИЙ   ";MOSN
"ДО ""Морской""                       ";NVMO
"ДО ""Магистральный""                 ";NVMA
"ОО ""Поволжье""                      ";ROPO
"ОО ""Ударник""                       ";ROUD
"ОО ""Волжский""                      ";ROVL
"ККО ""СУРГУТСКИЙ""                   ";MOSU
"ДО ""Новочеркасский""                ";PTNV
"ДО ""Муринский ручей""               ";PTMR
"ОО ""Атриум"" Филиала                ";SMAT
"ДО ""БОЛЬШАЯ ТУЛЬСКАЯ""              ";MOTO
"ДО ""МИКЛУХО-МАКЛАЯ""                ";MOMM
"ДО ""ЗЕЛЕНОДОЛЬСКИЙ""                ";MOZD
"ККО ""ТУЛА-ЕС-ДВОРЕЦ СВЯЗИ""         ";MOTW
"ДО ""Староневский""                  ";PTSN
"ДО ""СРЕДНИЙ ПРОСПЕКТ               ";PTSP
"ОО ""Флагман""                       ";NVFL
"ДО ""Покровский""                    ";NZPK
"ККО ""САНКТ-ПЕТЕРБУРГ-ЕС- ДЫБЕНКО,  ";MOPD
"ДО ""Улица Зорге""                   ";KZZO
"ДО ""Улица Декабристо               ";KZDK
"ОО ""Студенческий""                  ";NVST
"ОО ""Площадь Победы""                ";NVPP
"ОО ""Проспект Советск               ";NVPS
"ДО ""Даудель""                       ";TUDU
"ДО ""Океан""                         ";TUOK
"ДО ""ХИМКИНСКИЙ""                    ";MOHM
"ДО ""ОДИНЦОВСКИЙ""                   ";MOOI
"ДО ""ЮГО-ЗАПАДНЫЙ""                  ";MOYZ
"ОО ""Улица Тольятти""                ";NVTL
"ОО ""Улица Кирова""                  ";NVKR
"ДО ""Буревестник""                   ";NZBR
"ККО ""БАРНАУЛ-ЕС-НА БАЛТИЙСКОЙ""     ";MOGP
"ККО ""ИЖЕВСК-ЕС-НА ПУШКИНСКОЙ""      ";MOPU
"ККО ""БАРНАУЛ-ЕС-НА ГЕОРГИЕВА""      ";MOGV
"ОО ""Рудный""                        ";SMRD
"ОО ""Первореченский""                ";XBPR
"ОО ""Купеческий""                    ";NVKP
"ОО ""Маршала Жукова""                ";NVLB
"ДО ""Победа""                        ";NVPB
"ОО ""Италмас""                       ";NZIT
"ДО ""УЛИЦА ВЫСОТНАЯ""                ";CRVS
"ККО ""НОВОСИБИРСК-ГОРСКИЙ""          ";MONQ
"ОО ""УЛИЦА НЕДЕЛИНА""                ";MONL
"ДО ""ПРЕДМОСТНАЯ ПЛОЩАДЬ""           ";CRPR
"ДО ""Взлетка""                       ";CRVZ
"ДО ""АВРОРА""                        ";NVAV
"ДО ""АГИБАЛОВСКИЙ""                  ";SMAG
"ОО ""УЛИЦА ЧАПАЕВА""                 ";NZCP
"ККО ""УФА-ЕС-НА КОЛЬЦЕВОЙ""          ";MOUF
"ДО ""ПРОСПЕКТ КОСМОНАВТОВ""          ";MOPB
"ДО ""ПЕРЕЯСЛАВСКИЙ""                 ";MOPC
"ДО ""УЛИЦА ДУБРАВНАЯ""               ";MOUD
"ККО ""КРАСНОДАР-ЕС-НА ГИМНАЗИЧЕСКОЙ ";MOZC
"ДО ""УЛИЦА СУВОРОВА""                ";XBSU
"ДО ""СВОБОДНЫЙ ПРОСПЕКТ""            ";MOSY
"ДО ""НЕГЛИННАЯ""                     ";MONY
"ДО ""ВОРОНЦОВО ПОЛЕ""                ";MOVW
"ДО ""ГИЛЯРОВСКОГО""                  ";MOGS
"ДО ""ЧИСТЫЕ ПРУДЫ""                  ";MOPF
"ДО ""БАУМАНСКИЙ""                    ";MOUM
"ДО ""ВОРОНЦОВСКИЙ""                  ";MOVX
"ДО ""ЛЮБЛИНСКИЙ""                    ";MOMF
"ДО ""КУТУЗОВСКИЙ""                   ";MOUT
"ДО ""СОКОЛЬНИЧЕСКАЯ П               ";MOSQ
"ДО ""УЛИЦА 1905 ГОДА""               ";MOGQ
"ДО ""РЕЧНОЙ""                        ";MORX
"ДО ""ОСТАШКОВСКОЕ""                  ";MOSJ
"ККО ""ЛИПЕЦК-ЕС-НА ЗАВОДСКОЙ""       ";MOZW
"ОО ""Улица Герасимова""              ";SMGR
"ККО ""Новый Уренгой""                ";MONU
"ОО ""Заполярный""                    ";PTZP
"ДО ""ФЕСТИВАЛЬНЫЙ""                  ";NVFS
БПК Кредитный брокер 2             ;MOGT
"Блок ""Потреб.кредитование""         ";MOGU
Технический Бэк-офис               ;MOGW
"ДО ""НОВОГИРЕЕВО""                   ";MOOG
"ДО ""МАРЬИНО""                       ";MOMQ
"ККО ""Калининград-ЕС-МЕГА""          ";MOLF
"ДО ""ЗАМОСКВОРЕЧЬЕ""                 ";MOZR
"ККО ""САНКТ-ПЕТЕРБУРГ-ПРОСПЕКТ ПРОСВ";MOPH
"ККО ""Омск-Никольский""              ";MOON
"ККО ""ВЛАДИМИРСКИЙ""                 ";MOVY
"ККО ""Рязанский""                    ";MORL
"ККО ""Тюмень-ЕС-НА МЕЛЬНИКАЙТЕ      ";MOTF
"ОО ""Тойота - Центр Кубань""         ";ROTC
"ОО ""Улица Республики""              ";EKTU
"ОО ""Мегионский""                    ";EKMN
"ОО ""Югорский""                      ";EKUG
"ОО ""Тюменский""                     ";EKSR
"ОО ""Океан""                         ";EKOK
"ОО ""Нижневартовский""               ";EKNV
"ОО ""Даудель""                       ";EKDU
"ОО ""Радужный""                      ";EKRD
Технический Д/Р ф-л Тюменский      ;EK97
"ДО ""ААА АВТО. ЩЕРБИНКА""            ";MOSI
"ККО ""ОРЕНБУРГ-ПЕРОВСКИЙ""           ";MOOP
"ККО ""СОРОЧИНСК-ЕС-НА ВОЛОДАРСКОГО"" ";MOVZ
"ККО ""САНКТ-ПЕТЕРБУРГ-ЕС-ПС БОЛЬШОЙ ";MOPI
"ДО ""Красный Проспект""              ";NVPR
"ДО ""ВАРШАВСКИЙ""                    ";MOWR
"ККО ""НИЖНИЙ НОВГОРОД-ЗАРЕЧЬЕ""      ";MONA
"ДО ""Панавто Ростовский""            ";ROPA
"ККО ""САНКТ-ПЕТЕРБУРГ-КУПЧИНО""      ";MOPQ
"ККО ""МИАСС-ЕС-ПРОСПЕКТ АВТОЗАВОДЦЕВ";MOMV
"ДО ""Окский""                        ";NZOK
"ОО ""Предмостная площадь""           ";NVPM
"ОО ""Взлетка""                       ";NVVZ
"ОО ""Улица Высотная""                ";NVVS
"ОО ""Железногорский""                ";NVZG
"ОО ""Красноярский""                  ";NVKS
ОКВКУ Красноярск Ф-ла Новосибирский;NVOK
Технический Д/Р ф-л Красноярский   ;NV95
"ККО ""ИВАНОВСКИЙ""                   ";MOIV
"ДО ""Балканский""                    ";PTBL
"ОО ""Волочаевский""                  ";NVVL
"ККО ""СТАВРОПОЛЬ-ЭДЕЛЬВЕЙС""         ";MOTH
"ККО ""ОМСК-УСПЕНСКИЙ""               ";MOUK
"Филиал ""Ставропольский""            ";STCO
"ОО ""Липки""                         ";NZLI
"ДО  ""ФАВОРИТ МОТОРС. СЕМЕНОВСКАЯ 3""";MOMJ
"ДО ""КРАСИВАЯ ЗЕМЛЯ. ПРОСПЕКТ АНДРОП";MOZZ
"ККО ""АБАКАНСКИЙ""                   ";MOII
"ДО ""ЧОНГАРСКИЙ БУЛЬВАР""            ";MOTX
"ДО ""Выборгский""                    ";PTVB
"ОО ""Набережные Челны""              ";NZNC
"ОО ""Улица Зорге""                   ";NZZO
"ОО ""Улица Декабристов""             ";NZDK
"ККО ""ЯКУТСКИЙ""                     ";MOYK
"ККО ""КУРСКИЙ""                      ";MOUC
"ДО ""НИМАЛ. ИРКУТСКАЯ""              ";MONM
"ДО ""УЛИЦА БУТЫРСКАЯ""               ";MOTQ
"ДО ""КРЫЛАТСКОЕ""                    ";MORW
"ДО ""ЗАПАДНЫЙ""                      ";ROZA
"ДО ""УДАЛЬЦОВА""                     ";MOUW
"ДО ""ВОРОБЬЕВЫ ГОРЫ""                ";MOGY
"ДО ""БАЛАШИХА""                      ";MOLJ
"ККО ""КРАСНОЯРСК-КРАСНЫЙ ЯР""        ";MORR
"ККО ""БИЙСКИЙ""                      ";MOJC
"ККО ""Вологодский""                  ";MOLQ
"ДО ""АВТОЦЕНТР СИТИ. КАШИРСКИЙ""     ";MOTI
"ККО ""РОСТОВ-НА-ДОНУ-ГОРИЗОНТ""      ";MOGZ
"ОО ""Пензенский""                    ";NZPN
"ДО ""Октябрьский 2""                 ";PTOT
"ОО ""Преображенский""                ";MOPX
"ДО ""Самоцветы Урала""               ";EKSM
"ДО ""ХОРОШЕВСКИЙ""                   ";MOXR
"ККО ""САНКТ-ПЕТЕРБУРГ-ПИОНЕРСКИЙ""   ";MOPW
Дирекция вторичных продаж          ;MOHB
ДВП                                ;MOHA
"ДО ""У СЕРВИС ПЛЮС. ВОЙКОВСКАЯ""     ";MOHC
Технический Д/Р ф-л Самарский      ;NZ97
"ОО ""Самарский""                     ";NZSM
"ОО ""Пермский""                      ";NZPR
"ОО ""СЕЛЕНИТ""                       ";NZSL
"ОО ""Атриум""                        ";NZAT
"ОО ""Агибаловский""                  ";NZAG
"ОО ""Рудный""                        ";NZRD
"ОО ""Тольяттинский""                 ";NZTO
"ОО ""Оренбургский""                  ";NZOR
"ОО""Бузулукский""                    ";NZBU
"ОО ""Орский""                        ";NZOS
"ОО ""Ульяновский""                   ";NZGR
"ДО ""МЫТИЩИ""                        ";MOMX
"ДО ""СЕМЕНОВСКИЙ""                   ";MOMZ
"ККО ""ХАБАРОВСК-ПРИАМУРСКИЙ""        ";MOHP
"ККО ""САРАТОВ-ТУРОВСКИЙ""            ";MOTZ
"ККО ""БРЯНСК""                       ";MOHD
"ККО ""ПЯТИГОРСКИЙ""                  ";MOHE
"ККО ""ОРСК-ПК-ЛУЧ""                  ";MORP
УЛИЦА СОВЕТСКАЯ                    ;MOUX
"ДО ""ФОРД ЦЕНТР ИЗМАЙЛОВО""          ";MORQ
"ОО ""УЛИЦА КРАСНАЯ""                 ";ROKN
"ККО ""КОМСОМОЛЬСК-НА-АМУРЕ""         ";MOLZ
"ККО ""ТВЕРЬ""                        ";MOTP
"ККО ""КРАСНОДАР-ЕКАТЕРИНИНСКИЙ""     ";MOGX
"ДО ""ПОДОЛЬСКИЙ""                    ";MOLX
"ДО ""Коломяжский"" Филиала ""Санкт-Пет";PTKO
"ДО ""ЩУКИНСКИЙ""                     ";MOTJ
"ДО ""КРАСНОГОРСК""                   ";MOHG
"ККО ""СОСНОВЫЙ БОР""                 ";MOHR
"ОО ""Икар. Саратов""                 ";NZIK
ВОЛГОГРАД-ПК-УЛИЦА МИРА            ;MOLL
"ККО ""СТЕРЛИТАМАК""                  ";MOLW
"ККО ""Иркутск-ПК-Ольхон""            ";MOHN
"ККО ""ЙОШКАР-ОЛА""                   ";MOJD
"ДО ""ЛЕКСУС ИЗМАЙЛОВО""              ";MOUA
"ККО ""Пермь-ПК-Строгановский""       ";MOHF
"ДО ""УЛИЦА ВАСИЛЕВСКОГО""            ";MOUE
"ДО ""ЧЕРНЕВО""                       ";MOUG
"ККО ""ДЗЕРЖИНСКИЙ""                  ";MOHL
"ККО ""ВОЛГОДОНСКИЙ""                 ";MOHV
"ККО ""ЯКУТСК-ДАЙМОНД""               ";MOHY
"ККО ""СЕВЕРОДВИНСКИЙ""               ";MOHS
"ККО ""АРХАНГЕЛЬСК-ПК-ТРОИЦКИЙ""      ";MOHZ
"ККО ""СТАРЫЙ ОСКОЛ""                 ";MOHJ
"ККО ""РЯЗАНЬ-ТЕАТРАЛЬНАЯ ПЛОЩАДЬ""   ";MOHO
"ККО ""НАБЕРЕЖНЫЕ ЧЕЛНЫ-БОРОВЕЦКИЙ""  ";MONH
"ОО ""СКВЕР СУРИКОВА""                ";NVSR
"ДО ""КУШТАУ""                        ";BSKU
"ДО ""Площадь Блюхера""               ";XBBL
"ККО ""ЭНГЕЛЬС""                      ";MONF
"ККО ""ПЕНЗА-ДАВЫДОВСКИЙ""            ";MOZB
"ДО ""ЩЕРБАКОВСКИЙ""                  ";MOOF
"ДО ""ХОДЫНСКИЙ""                     ";MOOE
"ДО ""ПИРОГОВСКИЙ""                   ";MOOA
"ДО ""ФАВОРИТ МОТОРС ЮГ""             ";MOYF
"ККО ""Новокузнецк-ПК-Универсал""     ";MOUI
"ОО ""Башкортостан""                  ";NZBS
"ОО ""КУШТАУ""                        ";NZKU
"ОО ""Черниковский""                  ";NZCR
"ОО ""Салават""                       ";NZSA
"ОО ""Курай""                         ";NZKR
Технический Д/Р ф-л Башкортостан   ;NZ96
"ДО ""Полюстровский""                 ";PTPL
"ДО ""ЛСР НЕДВИЖИМОСТЬ. ДАВЫДКОВСКАЯ""";MONJ
"ОО ""Улица Тельмана""                ";NZTL
"ККО ""РОСТОВ-НА-ДОНУ-МАЙСКИЙ""       ";MOHT
"ОО ""Континентальный""               ";NVKN
"ДО ""АЛТУФЬЕВО""                     ";MOHH
"ККО ""ОМСК-ТОПОЛИНЫЙ""               ";MOOJ
"ДО ""У СЕРВИС ПЛЮС. АВТОЗАВОДСКАЯ""  ";MONX
"ДО ""У СЕРВИС ПЛЮС. ОБРУЧЕВА""       ";MONW
"ДО ""У СЕРВИС ПЛЮС. ОСЕННЯЯ""        ";MONP
"ДО ""ОБУХОВ СИТИ""                   ";MOOH
"ДО ""ОБУХОВ МИТИНО""                 ";MOOO
"ДО ""ОБУХОВ ИЗМАЙЛОВО""              ";MOOQ
"ДО ""ОБУХОВ ДОМОДЕДОВО""             ";MOOW
"ДО ""ПРОФСОЮЗНАЯ""                   ";MOYB
"ДО ""НАХИЧЕВАНСКИЙ""                 ";RONA
"ОО  ""Лазурит""                      ";NVLZ
"ККО ""САМАРА-УЛИЦА ПОБЕДЫ""          ";MOUJ
"ДО ""УЛИЦА ЛЕСКОВА""                 ";MOUU
"ККО ""ИРКУТСК-ЛЕРМОНТОВСКИЙ""        ";MOHK
"ККО ""НИЖНИЙ НОВГОРОД-МЕЩЕРСКИЙ""    ";MOHQ
"ОО ""Аркада""                        ";MOHW
"ОО ""Промышленный""                  ";NZPM
"ДО ""ФАВОРИТ МОТОРС ЮГ 2""           ";MOHX
"ДО ""Черемушки""                     ";MOJE
"ДО ""Перово""                        ";MOJF
ДО Зеленый проспект                ;MOZQ
"ККО ""АБАКАН-ЧЕРНОГОРСКИЙ ПАРК""     ";MOJG
"ОО ""Улица Ершова""                  ";NZER
"ККО ""ТОЛЬЯТТИ-АВТОЗАВОДСКИЙ""       ";MOJH
"ДО ""ЖУЛЕБИНО""                      ";MOJI
"ККО ""Барнаул-ПК-Проспект Строителей";MOJJ
"ОО  ""АДМИРАЛТЕЙСКИЙ""               ";MOJV
"ДО ""ЗЕЛЕНОГРАД""                    ";MOJW
"ДО ""ГОРДЕЕВСКИЙ""                   ";NZGO
"ОО ""ПРОСПЕКТ КИРОВА""               ";NZKV
"ККО ""ИЖЕВСК-ДЕРЯБИНСКИЙ""           ";MOJT
"ОО""Улица Солнечная""в г.Сосновый Бор";PTSL
"ККО ""САМАРА-СТАРА ЗАГОРА""          ";MOJY
"ККО ""ВОРОНЕЖ-ПЛАТОНОВСКИЙ""         ";MOJZ
"ККО ""КАЛИНИНГРАД-УЛИЦА ЧЕРНЯХОВСКОГ";MOOX
"ККО ""СЫЗРАНЬ""                      ";MOOY
"ОО ""ЛЕКСУС-ЦЕНТР ВОРОНЕЖ""          ";MOZF
"ОО ""ТОЙОТА-ЦЕНТР ВОРОНЕЖ""          ";MOZG
"ДО ""УЛИЦА ПОРЫВАЕВОЙ""              ";MOOZ
"ДО ""ОККЕРВИЛЬ""                     ";PTKK
"ОО ""Улица Конституции""             ";ROKT
"ККО ""САНКТ-ПЕТЕРБУРГ-ВОЛОДАРСКИЙ МО";MOJX
"ДО ""КРЮКОВО""                       ";MOUO
"ДО ""РЯЗАНСКИЙ ПРОСПЕКТ""            ";MOZJ
"ККО ""САНКТ-ПЕТЕРБУРГ-ПРОСПЕКТ БОЛЬШ";MOQA
"ККО ""ЯРОСЛАВЛЬ-РОЖДЕСТВЕНСКИЙ""     ";MOYC
"ККО ""СОЧИ-РИВЬЕРА""                 ";MOYD
"ДО ""ОПТИМУМ АВТО ЩЕЛКОВСКАЯ""       ";MOYE
"ДО ""Кусково""                       ";MOUQ
"ДО ""ЧЕРТАНОВСКАЯ""                  ";MOZT
"ДО ""БАЛАКЛАВСКИЙ""                  ";MOQB
КРАСНОДАР-ПК-УЛ.КРАСНЫХ ПАРТИЗАН   ;MOYP
"ДО ""АВИАМОТОРНАЯ""                  ";MOYL
"ДО ""ЭНТУЗИАСТОВ""                   ";MOQC
"ДО ""Улица Минская""                 ";MOWN
"Пр-во АО""Альфа-Банк""в Рес.Беларусь ";MOYN
Технический для Внебаланса         ;VNEB
"ККО ""НОВОСИБИРСК-ПЛОЩАДЬ КАЛИНИНА"" ";MOYJ
"ККО ""ЛИПЕЦК-ЗВЕЗДНЫЙ""              ";MOYM
"ККО ""АЛЬФА PRIVATE КРАСНОЯРСК""     ";MOYI
"ККО ""КРАСНОДАР-ВЕГА""               ";MOZY
"ДО ""СМОЛЕНСКАЯ""                    ";MOYH
"ДО ""СХОДНЕНСКАЯ""                   ";MOYY
"ДО ""НИКА МОТОРС КОЛОМЕНСКОЕ""       ";MOXZ
ДО ФАВОРИТ МОТОРС ЮГ 3             ;MOZX
"ДО ""ЛЕНИНГРАДСКОЕ ШОССЕ 71""        ";MOXY
"ДО ""Малая Конюшенная""              ";PTKN
Отделение OCRM УВП                 ;MOYX
"ДО ""Яна Райниса""                   ";MOXX
"ДО ""ПЛОЩАДЬ СМОЛЕНСКАЯ-СЕННАЯ""     ";MOQD
"ККО ""ИЗЛУЧИНСК-ПК-ЭНЕРГЕТИКОВ""     ";MOQF
"ККО ""ПЕРМЬ-БАЛАТОВСКИЙ""            ";MOGB
"ОО""Авиатор""г.Липецк                ";MOQE
"ККО ""БЕРДСКИЙ""                     ";MOQG
"ДО ""КОЛОМЕНСКИЙ""                   ";MOQH
"ККО ""ЛИНЕВО-ПК-СИБИРСКИЙ""          ";MOWM
"ДО ""Улица Ивановская""              ";PTIV
"ККО ""НОВОЧЕРКАССК-ПЛАТОВСКИЙ""      ";MOWT
"ККО ""ОМСК-ПАРК КУЛЬТУРЫ""           ";MOWP
"ОО ""Юность""                        ";NVYN
"ОО""Благодатный"" в г.Краснодар      ";ROBL
"ДО""Парковый"" г.Бердск              ";NVPA
"ККО ""ЧЕБОКСАРЫ-АТАЛ""               ";MOWQ
"ДО ""АВТОЗАВОДСКИЙ""                 ";MOQI
"ОО ""ОНИКС""                         ";NZON
"ККО ""ТОМСК-МАГИСТРАТ""              ";MOWU
"ККО ""ТУЛА-ЯСНАЯ ПОЛЯНА""            ";MOWO
"ДО ""АВТОЗАВОДСКИЙ ПРОЕЗД""          ";MOQJ
"ОО ""Надежда"" в г.Чебоксары         ";NZNA
"ККО ""САНКТ-ПЕТЕРБУРГ-ФРАНЦУЗСКИЙ БУ";MOWV
"ДО ""Бульвар Новаторов""             ";PTBN
"ККО ""ТАГАНРОГ-ЧЕХОВСКИЙ""           ";MOQK
"ДО ""Спортивный""                    ";NVSP
"ККО ""САНКТ-ПЕТЕРБУРГ-ТАВРИЧЕСКИЙ СА";MOWW
"ДО ""ЛЮБЕРЦЫ""                       ";MOQL
"ККО ""ПЕТРОЗАВОДСК-ОНЕЖСКИЙ""        ";MOWX
"ДО""Кремлевский""                    ";NZKM
"ДО ""ПРОСПЕКТ АНДРОПОВА""            ";MOQM
"ДО ""ДОМИНИОН""                      ";MOWY
"ДО ""КИЕВСКИЙ""                      ";MOQN
"ККО ""УЛЬЯНОВСК-УЛИЦА ГОНЧАРОВА""    ";MOWZ
"ККО ""САНКТ-ПЕТЕРБУРГ-МЕЖДУНАРОДНЫЙ""";MOQO
"ДО ""Витебский""                     ";PTVI
"ККО ""ЯСНЫЙ-ПК-ГОРНЫЙ ЛЕН""          ";MOXA
"ККО ""ОРЕНБУРГ-ПК-АКСАКОВСКИЙ""      ";MOQQ
"ККО ""КУРГАН-ПК-ВЫСТАВОЧНЫЙ ЦЕНТР""  ";MOXC
"ККО ""МИАСС-ПК-САМОРОДОК""           ";MOXB
"ККО ""Магнитогорск-ПК-Прогресс""     ";MOQR
"ДО ""Дорогомиловский""               ";MOUY
"ДО ""УЛИЦА ГАРИБАЛЬДИ""              ";MOXD
"ККО ""АЛЬФА PRIVATE КРАСНОДАР""      ";MOWA
"ДО ""ЦАРИЦЫНО""                      ";MOXE
"ДО ""Улица Песчаная""                ";MOWB
"ДО ""ОТРАДНОЕ""                      ";MOWD
"ККО ""БАРНАУЛ-ПРЕСТИЖ""              ";MOWC
"ККО ""НОВОКУЗНЕЦК-ПРОСПЕКТ-БАРДИНА"" ";MOXF
"ДО ""УЛИЦА ЛУГАНСКАЯ""               ";MOXH
"ДО ""Байконур""                      ";MOXG
"ККО ""КОМСОМОЛЬСК-НА-АМУРЕ-ПК-ЮНОСТЬ";MOXI
"ККО ""КЕМЕРОВО-ПК-ГРАНИТ""           ";MOWE
"ОО ""Куршская коса""                 ";PTSH
