Центральный офис                   ;MOCO
"ДО ""НОВОСЛОБОДСКИЙ""                ";MONV
"ДО ""ТВЕРСКАЯ-ЯМСКАЯ""               ";MOTS
"ДО ""СТАРЫЙ АРБАТ""                  ";MOAB
"ДО ""АЛЕКСЕЕВСКИЙ""                  ";MOAL
"ДО ""ЗЕМЛЯНОЙ ВАЛ""                  ";MOZL
"ДО ""БРАТИСЛАВСКИЙ""                 ";MOBS
"ДО ""ТРЕТЬЯКОВСКИЙ""                 ";MOTR
"ДО ""ОЛИМПИЙСКИЙ""                   ";MOOL
"ДО ""КУТУЗОВСКИЙ ПРОСПЕКТ""          ";MOKS
"ДО ""ТВЕРСКАЯ""                      ";MOTA
"ДО ""ДАНИЛОВСКИЙ""                   ";MOBT
"ОРП ""Сухаревский"" (НРБ)            ";MOSR
"ДО ""МЕДВЕДКОВО""                    ";MOED
Филиал  Курганский                 ;MOCJ
"ККО ""ЮЖНЫЙ УРАЛ""                   ";MOCH
"ДО ""КУЗЬМИНКИ""                     ";MOKU
"ДО ""ЛОМОНОСОВСКИЙ""                 ";MOLE
ЦО филиала Саратовский             ;MOST
"ККО ""ТОМЬ""                         ";MOFT
"ДО ""ЛЮДМИЛА""                       ";MOLY
"ККО ""ДОН""                          ";MORT
Центр автокредитования             ;MOZA
"ККО ""ПОЛЯРНЫЙ""                     ";MOMO
ДО Нефтяники филиала Омский        ;MOKL
"ККО ""ИРТЫШ""                        ";MOKJ
ДО Правобережное филиала Иркутский ;MOKH
ДО Ангарский филиала Иркутский     ;MOKG
"ДО ""БАЛТИЙСКИЙ""                    ";MOBA
ЦО филиала Иркутский               ;MOKE
"ККО ""ПРОСПЕКТ РЕВОЛЮЦИИ""           ";MOKF
ДО Глазовский филиал               ;MOKW
ДО центральный филиала Ижевский    ;MOKC
"ККО ""ЯНТАРЬ""                       ";MOKB
"ККО ""КРАСНОЯРСК-ЕНИСЕЙ""            ";MOKY
"ДО ""Демидовский"" ф-ла ""Челябинский""";MODC
ДО Зеленогорский ф-ла Красноярский ;MOZE
ДО Железногорский ф-ла Красноярский;MOZH
ДО Большая Полянка (НРБ)           ;MOBP
"ККО ""ОРЕНБУРГ-ПРОСПЕКТ ПОБЕДЫ""     ";MORE
ДО Бузулукский филиала Оренбургский;MOUZ
ЦО филиала Орский                  ;MORS
ДО Радужный филиала Тюменский      ;MORA
"ККО ""ЛИДЕР""                        ";MOMI
ДО Мегионский филиала Тюменский    ;MOME
ДО Спасский филиала Тюменский      ;MOSA
"ККО ""ЕРМАК""                        ";MOTM
ДО Тольяттинский филиала Самарский ;MOT1
"ДО ""РИЖСКИЙ""                       ";MORY
ККО МОЛОДОГВАРДЕЙСКИЙ АО АЛЬФА-БАНК;MOS1
ЦО филиала Пермский                ;MOP1
"ККО ""ГРИБОЕДОВСКИЙ""                ";MOSP
ДО Софийский ф-ла Санкт-Петербургск;MOSF
"ККО ""ЛАДОГА""                       ";MOSZ
"ККО ""ПУТИЛОВСКИЙ""                  ";MOKK
ККО Светлана                       ;MOSC
"ККО ""НЕВА""                         ";MOLI
ЦО филиала Волгоградский           ;MOVO
"ККО ""КУБАНЬ""                       ";MOKD
"ККО ""СИБИРЬ""                       ";MOSV
"ККО ""УРАЛ""                         ";MOUR
"ККО ""ВОЛГА""                        ";MONN
"АО ""Альфа-Банк Башкортостан""       ";MOBN
ЦО филиала Кемеровский             ;MOKO
ДО Новокузнецкий ф-ла Кемеровский  ;MOKQ
"ДО Каменск-Уральский ф-ла ""Екатерин";MOKA
